dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1483228800,2017-01-01 00:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,5.89,1.16,5,9.17,1019,,,93,5.1,330,,,,,75,500,Rain,light rain,10n
1483232400,2017-01-01 01:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,5.06,0.88,4.8,6.24,1019,,,93,4.1,310,,,,,75,500,Rain,light rain,10n
1483236000,2017-01-01 02:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,5.04,0.85,4.23,6.21,1019,,,93,4.1,320,,,,,75,803,Clouds,broken clouds,04n
1483239600,2017-01-01 03:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.59,-1.15,4,6.14,1019,,,93,6.2,330,,,,,75,803,Clouds,broken clouds,04n
1483243200,2017-01-01 04:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.15,-1.86,3.96,5.89,1019,,,86,6.2,330,,,,,75,803,Clouds,broken clouds,04n
1483246800,2017-01-01 05:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,3.24,-2.91,3,5.46,1020,,,86,6.2,330,,,,,40,802,Clouds,scattered clouds,03n
1483250400,2017-01-01 06:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,2.72,-2.99,2,5.19,1020,,,93,5.7,330,,,,,20,801,Clouds,few clouds,02n
1483254000,2017-01-01 07:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,2.33,-4.31,2,5.37,1020,,,86,6.7,330,,,,,20,801,Clouds,few clouds,02n
1483257600,2017-01-01 08:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,2.38,-3.9,2,5.71,1021,,,86,6.2,340,,,,,20,801,Clouds,few clouds,02n
1483261200,2017-01-01 09:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,2.83,-3.19,2,5.67,1022,,,80,5.7,350,,,,,20,801,Clouds,few clouds,02d
1483264800,2017-01-01 10:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,3.26,-2.54,3,5.8,1023,,,86,5.7,350,,,,,20,801,Clouds,few clouds,02d
1483268400,2017-01-01 11:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.16,-2.36,3.81,5.99,1023,,,80,6.7,350,,,,,40,802,Clouds,scattered clouds,03d
1483272000,2017-01-01 12:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.21,-2.3,4,6.11,1024,,,80,6.7,350,,,,,40,802,Clouds,scattered clouds,03d
1483275600,2017-01-01 13:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,5.08,-2.14,4.59,6.29,1024,,,75,7.7,360,,,,,20,801,Clouds,few clouds,02d
1483279200,2017-01-01 14:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,5.11,-2.11,4.74,6.41,1024,,,75,7.7,360,,,,,40,802,Clouds,scattered clouds,03d
1483282800,2017-01-01 15:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,5.1,-2.26,4.65,6.42,1025,,,70,7.7,350,,,,,40,802,Clouds,scattered clouds,03d
1483286400,2017-01-01 16:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,5.06,-1.11,4.27,6.39,1025,,,75,6.2,350,,,,,75,803,Clouds,broken clouds,04d
1483290000,2017-01-01 17:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.6,-1.5,4,6.35,1026,,,80,6.2,350,,,,,75,803,Clouds,broken clouds,04n
1483293600,2017-01-01 18:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.19,-1.21,3.81,6.24,1026,,,80,5.1,340,,,,,75,803,Clouds,broken clouds,04n
1483297200,2017-01-01 19:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.16,-1.66,3.6,6.18,1027,,,80,5.7,360,,,,,75,803,Clouds,broken clouds,04n
1483300800,2017-01-01 20:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.16,-1.66,3.62,6.2,1028,,,80,5.7,340,,,,,75,520,Rain,light intensity shower rain,09n
1483304400,2017-01-01 21:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.62,-3.16,3.7,6.22,1028,,,70,8.2,30,,,,,75,803,Clouds,broken clouds,04n
1483308000,2017-01-01 22:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,5,-1.53,3.74,6.21,1029,,,75,6.7,30,,,,,75,520,Rain,light intensity shower rain,09n
1483311600,2017-01-01 23:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.97,-3.24,3.65,6.06,1030,,,80,9.3,30,,,,,75,803,Clouds,broken clouds,04n
1483315200,2017-01-02 00:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.96,-2.28,3.64,5.98,1030,,,75,7.7,20,,,,,75,803,Clouds,broken clouds,04n
1483318800,2017-01-02 01:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.95,-1.24,3.64,5.87,1031,,,75,6.2,20,,,,,75,803,Clouds,broken clouds,04n
1483322400,2017-01-02 02:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.93,-1.61,3.51,5.72,1031,,,75,6.7,30,,,,,40,802,Clouds,scattered clouds,03n
1483326000,2017-01-02 03:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.04,-1.51,3.09,5.51,1032,,,75,5.1,20,,,,,40,802,Clouds,scattered clouds,03n
1483329600,2017-01-02 04:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,3.15,-1.85,2.55,5.26,1032,,,74,4.1,20,,,,,20,801,Clouds,few clouds,02n
1483333200,2017-01-02 05:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,2.29,-2.33,2,5.13,1033,,,80,3.6,350,,,,,20,801,Clouds,few clouds,02n
1483336800,2017-01-02 06:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,0.97,-3.34,0,4.98,1033,,,86,3.1,300,,,,,20,801,Clouds,few clouds,02n
1483340400,2017-01-02 07:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,0.56,-5.21,0,4.84,1033,,,86,5.1,330,,,,,20,801,Clouds,few clouds,02n
1483344000,2017-01-02 08:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,-0.29,-5.11,-2,4.51,1033,,,86,3.6,310,,,,,20,801,Clouds,few clouds,02n
1483347600,2017-01-02 09:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,-1.16,-6.44,-3,4.26,1034,,,86,4.1,320,,,,,20,801,Clouds,few clouds,02d
1483351200,2017-01-02 10:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,0.1,-5.37,-1,4.42,1034,,,86,4.6,320,,,,,20,801,Clouds,few clouds,02d
1483354800,2017-01-02 11:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,1.46,-3.75,0,4.66,1034,,,74,4.1,320,,,,,20,801,Clouds,few clouds,02d
1483358400,2017-01-02 12:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,2.77,-2.28,2,4.83,1034,,,74,4.1,310,,,,,20,801,Clouds,few clouds,02d
1483362000,2017-01-02 13:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,3.66,-1.25,3,4.96,1034,,,75,4.1,310,,,,,20,801,Clouds,few clouds,02d
1483365600,2017-01-02 14:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,4.09,-0.62,3.83,5.16,1033,,,80,4.1,300,,,,,20,801,Clouds,few clouds,02d
1483369200,2017-01-02 15:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,3.72,-1.53,3,5.29,1033,,,75,4.6,300,,,,,20,801,Clouds,few clouds,02d
1483372800,2017-01-02 16:00:00 +0000 UTC,0,Dublin,53.349805,-6.26031,1.97,-2.55,1,5.09,1033,,,86,3.6,280,,,,,20,801,Clouds,few clouds,02d
