date,timezone,temp,feels_like,wind_speed,wind_deg,weather_main,weather_description,rain
2018-01-01 00:00:00,0,4.15,-6.49,12.86,240,Rain,light intensity shower rain,0.0
2018-01-01 01:00:00,0,4.14,-5.79,11.83,240,Rain,light intensity shower rain,0.1
2018-01-01 02:00:00,0,4.61,-5.77,12.35,240,Clouds,scattered clouds,0.0
2018-01-01 03:00:00,0,4.64,-5.73,12.35,240,Clouds,scattered clouds,0.0
2018-01-01 04:00:00,0,5.04,-4.91,11.83,240,Clouds,scattered clouds,0.0
2018-01-01 05:00:00,0,5.0,-3.15,9.26,240,Clouds,broken clouds,0.0
2018-01-01 06:00:00,0,4.57,-2.21,7.2,240,Clouds,broken clouds,0.0
2018-01-01 07:00:00,0,4.11,-1.5,5.66,230,Clouds,broken clouds,0.0
2018-01-01 08:00:00,0,4.05,-2.29,6.69,240,Clouds,broken clouds,0.0
2018-01-01 09:00:00,0,4.08,-2.98,7.72,240,Clouds,scattered clouds,0.0
2018-01-01 10:00:00,0,5.02,-3.49,9.77,240,Clouds,scattered clouds,0.0
2018-01-01 11:00:00,0,6.01,-4.14,12.35,260,Clouds,scattered clouds,0.0
2018-01-01 12:00:00,0,7.01,-3.12,12.35,270,Clouds,broken clouds,0.0
2018-01-01 13:00:00,0,7.43,-2.82,12.86,280,Rain,light intensity shower rain,0.2
2018-01-01 14:00:00,0,6.65,-3.38,12.35,280,Clouds,scattered clouds,0.1
2018-01-01 15:00:00,0,6.63,-2.85,11.83,290,Rain,light intensity shower rain,0.0
2018-01-01 16:00:00,0,6.18,-2.85,10.8,280,Clouds,scattered clouds,0.0
2018-01-01 17:00:00,0,5.66,-2.38,9.26,280,Clouds,few clouds,0.0
2018-01-01 18:00:00,0,5.22,-0.92,6.69,280,Clouds,few clouds,0.0
2018-01-01 19:00:00,0,5.18,-2.05,8.23,270,Clouds,scattered clouds,0.0
2018-01-01 20:00:00,0,5.14,-2.27,8.23,260,Clouds,scattered clouds,0.0
2018-01-01 21:00:00,0,4.27,-3.64,8.75,260,Clouds,scattered clouds,0.0
2018-01-01 22:00:00,0,3.38,-3.95,7.72,260,Clouds,scattered clouds,0.0
2018-01-01 23:00:00,0,4.18,-2.82,7.2,260,Clouds,scattered clouds,0.0
2018-01-02 00:00:00,0,3.71,-2.28,5.66,240,Clouds,scattered clouds,0.0
2018-01-02 01:00:00,0,4.03,-2.27,6.17,250,Clouds,broken clouds,0.0
2018-01-02 02:00:00,0,4.44,0.35,3.09,190,Clouds,broken clouds,0.0
2018-01-02 03:00:00,0,4.44,0.35,3.09,190,Clouds,broken clouds,0.0
2018-01-02 04:00:00,0,4.9,1.6,2.06,170,Clouds,broken clouds,0.0
2018-01-02 05:00:00,0,5.83,0.52,5.14,150,Clouds,broken clouds,0.0
2018-01-02 06:00:00,0,6.02,2.36,3.09,160,Rain,light rain,0.5
2018-01-02 07:00:00,0,6.59,1.26,6.17,140,Rain,light rain,0.8
2018-01-02 08:00:00,0,7.5,3.23,4.63,160,Rain,light rain,0.1
2018-01-02 09:00:00,0,8.93,2.08,8.75,220,Rain,light rain,0.5
2018-01-02 10:00:00,0,8.97,0.69,10.8,230,Clouds,scattered clouds,0.0
2018-01-02 11:00:00,0,9.03,1.49,9.77,250,Clouds,broken clouds,0.0
2018-01-02 12:00:00,0,9.48,-0.2,12.35,250,Clouds,broken clouds,0.0
2018-01-02 13:00:00,0,9.46,0.87,10.8,240,Clouds,broken clouds,0.0
2018-01-02 14:00:00,0,9.45,1.21,10.29,240,Rain,light rain,0.0
2018-01-02 15:00:00,0,8.58,1.65,8.75,220,Rain,light rain,0.7
2018-01-02 16:00:00,0,8.08,3.42,5.66,210,Rain,light rain,1.3
2018-01-02 17:00:00,0,8.07,2.84,6.17,190,Clouds,broken clouds,0.4
2018-01-02 18:00:00,0,9.34,5.11,5.14,170,Rain,light rain,0.4
2018-01-02 19:00:00,0,10.48,-0.17,14.4,230,Clouds,broken clouds,0.0
2018-01-02 20:00:00,0,8.86,-5.09,18.01,250,Clouds,few clouds,0.0
2018-01-02 21:00:00,0,8.06,-6.21,18.52,260,Clouds,broken clouds,0.0
2018-01-02 22:00:00,0,6.56,-6.53,16.46,250,Clouds,broken clouds,0.3
2018-01-02 23:00:00,0,5.68,-5.78,14.4,260,Rain,light intensity shower rain,0.6
2018-01-03 00:00:00,0,5.18,-3.85,10.8,260,Rain,light intensity shower rain,0.6
2018-01-03 01:00:00,0,5.14,-5.51,12.86,260,Clouds,scattered clouds,0.0
2018-01-03 02:00:00,0,5.16,-6.39,14.4,250,Clouds,scattered clouds,0.0
2018-01-03 03:00:00,0,5.53,-5.24,13.38,260,Rain,light intensity shower rain,0.3
2018-01-03 04:00:00,0,5.18,-6.01,13.89,260,Rain,light intensity shower rain,0.8
2018-01-03 05:00:00,0,5.19,-3.83,10.8,250,Clouds,scattered clouds,0.0
2018-01-03 06:00:00,0,6.03,-2.84,10.8,250,Rain,light intensity shower rain,0.1
2018-01-03 07:00:00,0,6.15,-6.49,15.95,260,Clouds,scattered clouds,0.2
