dt,timezone,temp,feels_like,wind_speed,wind_deg,weather_main,weather_description
1514764800,0,4.15,-6.49,12.86,240,Rain,light intensity shower rain
1514768400,0,4.14,-5.79,11.83,240,Rain,light intensity shower rain
1514772000,0,4.61,-5.77,12.35,240,Clouds,scattered clouds
1514775600,0,4.64,-5.73,12.35,240,Clouds,scattered clouds
1514779200,0,5.04,-4.91,11.83,240,Clouds,scattered clouds
1514782800,0,5.0,-3.15,9.26,240,Clouds,broken clouds
1514786400,0,4.57,-2.21,7.2,240,Clouds,broken clouds
1514790000,0,4.11,-1.5,5.66,230,Clouds,broken clouds
1514793600,0,4.05,-2.29,6.69,240,Clouds,broken clouds
1514797200,0,4.08,-2.98,7.72,240,Clouds,scattered clouds
1514800800,0,5.02,-3.49,9.77,240,Clouds,scattered clouds
1514804400,0,6.01,-4.14,12.35,260,Clouds,scattered clouds
1514808000,0,7.01,-3.12,12.35,270,Clouds,broken clouds
1514811600,0,7.43,-2.82,12.86,280,Rain,light intensity shower rain
1514815200,0,6.65,-3.38,12.35,280,Clouds,scattered clouds
1514818800,0,6.63,-2.85,11.83,290,Rain,light intensity shower rain
1514822400,0,6.18,-2.85,10.8,280,Clouds,scattered clouds
1514826000,0,5.66,-2.38,9.26,280,Clouds,few clouds
1514829600,0,5.22,-0.92,6.69,280,Clouds,few clouds
1514833200,0,5.18,-2.05,8.23,270,Clouds,scattered clouds
1514836800,0,5.14,-2.27,8.23,260,Clouds,scattered clouds
1514840400,0,4.27,-3.64,8.75,260,Clouds,scattered clouds
1514844000,0,3.38,-3.95,7.72,260,Clouds,scattered clouds
1514847600,0,4.18,-2.82,7.2,260,Clouds,scattered clouds
1514851200,0,3.71,-2.28,5.66,240,Clouds,scattered clouds
1514854800,0,4.03,-2.27,6.17,250,Clouds,broken clouds
1514858400,0,4.44,0.35,3.09,190,Clouds,broken clouds
1514862000,0,4.44,0.35,3.09,190,Clouds,broken clouds
1514865600,0,4.9,1.6,2.06,170,Clouds,broken clouds
1514869200,0,5.83,0.52,5.14,150,Clouds,broken clouds
1514872800,0,6.02,2.36,3.09,160,Rain,light rain
1514876400,0,6.59,1.26,6.17,140,Rain,light rain
1514880000,0,7.5,3.23,4.63,160,Rain,light rain
1514883600,0,8.93,2.08,8.75,220,Rain,light rain
1514887200,0,8.97,0.69,10.8,230,Clouds,scattered clouds
1514890800,0,9.03,1.49,9.77,250,Clouds,broken clouds
1514894400,0,9.48,-0.2,12.35,250,Clouds,broken clouds
1514898000,0,9.46,0.87,10.8,240,Clouds,broken clouds
1514901600,0,9.45,1.21,10.29,240,Rain,light rain
1514905200,0,8.58,1.65,8.75,220,Rain,light rain
1514908800,0,8.08,3.42,5.66,210,Rain,light rain
1514912400,0,8.07,2.84,6.17,190,Clouds,broken clouds
1514916000,0,9.34,5.11,5.14,170,Rain,light rain
1514919600,0,10.48,-0.17,14.4,230,Clouds,broken clouds
1514923200,0,8.86,-5.09,18.01,250,Clouds,few clouds
