Route,MAE,HS,A,L,MX
31D_2,421.5334812938619,250,0.9,0.02,900
51D_1,172.04664294235258,200,0.9,0.035,900
161_1,281.4957742927692,250,0.8,0.035,900
4_1,457.3578142287849,200,0.8,0.01,700
69_2,319.684790922961,125,0.6,0.035,300
239_1,357.0500897805466,200,0.9,0.02,300
47_2,310.85191245127453,125,0.4,0.015,300
31A_2,246.9100186846507,125,0.8,0.005,700
56A_1,254.55320991521234,75,0.5,0.01,300
270_2,203.95676227593844,75,0.6,0.03,300
61_2,243.16079259274514,75,0.8,0.01,300
66_2,311.87861429245356,30,0.4,0.02,700
38A_2,538.4372672547091,100,0.9,0.025,300
15B_1,424.2719702390617,30,0.9,0.005,300
37_2,300.2113253867924,125,0.5,0.025,300
75_2,387.47261662307005,200,0.5,0.015,700
14_2,370.427584632068,30,0.5,0.005,700
67_1,328.6240755274739,200,0.6,0.03,300
150_2,239.54934296532358,150,0.6,0.03,300
15A_2,265.56739543633864,30,0.6,0.01,300
29A_2,219.64689191803168,30,0.8,0.01,300
14_1,403.3925111525658,30,0.4,0.005,700
39A_1,408.61392343497226,20,0.9,0.005,700
145_1,372.91898521904284,30,0.4,0.005,300
83_1,392.8308876930277,30,0.4,0.035,900
185_1,128.6756689244128,250,0.6,0.01,300
83A_1,367.1600737853162,125,0.4,0.02,300
56A_2,247.4546283708236,30,0.9,0.025,300
27A_2,182.57313757056656,250,0.8,0.005,700
77A_1,393.3048385271972,250,0.5,0.015,300
102_2,246.37612901171275,250,0.4,0.005,700
27A_1,174.31467321203058,55,0.9,0.01,300
77A_2,351.2732895985053,150,0.9,0.015,700
66B_2,306.9172720134402,125,0.6,0.03,300
79_1,205.69074579244437,125,0.5,0.005,700
142_1,419.2629784316811,250,0.9,0.025,700
14C_1,111.98106718435885,20,0.9,0.025,700
76A_1,552.784500893149,30,0.4,0.03,300
31B_1,242.40846227505156,125,0.5,0.02,300
59_1,100.30058522063506,125,0.9,0.03,300
44B_1,162.22267721445303,55,0.6,0.035,300
84A_2,208.30256725506126,100,0.8,0.035,300
40B_1,230.62223404395863,20,0.9,0.005,900
65_1,371.2693983547988,250,0.6,0.005,700
65_2,758.2412786755805,200,0.8,0.03,300
75_1,413.83695599868514,75,0.5,0.035,300
61_1,271.6606323097144,125,0.8,0.035,300
25_2,229.9193673122584,100,0.5,0.035,300
114_2,200.34987918346596,30,0.9,0.02,300
33B_1,165.79814887884814,150,0.4,0.005,300
70_2,436.5531488974855,75,0.9,0.035,300
7A_2,394.7278952982191,150,0.8,0.035,300
70_1,424.18090324941,75,0.6,0.025,300
13_1,460.177687732426,100,0.5,0.005,700
16_1,460.6212616319787,55,0.6,0.03,300
79A_2,231.35362137276783,55,0.8,0.01,300
54A_1,285.3278714285779,250,0.8,0.005,700
79_2,235.73310469656326,150,0.9,0.005,700
76_2,227.464213911316,55,0.8,0.005,700
29A_1,214.5480806261152,200,0.5,0.01,300
145_2,451.41407324300553,30,0.4,0.025,300
16_2,451.9706670314682,30,0.4,0.025,300
39A_2,374.6637934666773,30,0.4,0.005,700
41C_1,337.80098982791964,20,0.5,0.01,700
76A_2,351.9463294504558,55,0.6,0.005,900
63_1,300.90588591750264,100,0.6,0.03,300
236_1,142.48713689863752,100,0.4,0.035,300
33B_2,317.2108801919502,125,0.4,0.005,700
11_1,471.8797132767628,30,0.8,0.01,700
270_1,197.68320198979285,125,0.9,0.005,700
44_2,378.86907308889846,125,0.9,0.03,300
185_2,141.72891437268967,200,0.4,0.015,300
84A_1,363.3863040478304,75,0.5,0.03,300
17_1,326.4698884120168,250,0.4,0.005,700
161_2,139.56527123801192,200,0.8,0.035,700
46E_2,340.3276054634858,30,0.6,0.025,700
236_2,223.5517630037654,125,0.4,0.035,300
68A_1,249.32991602400529,55,0.4,0.03,300
38B_1,432.0289856416642,250,0.5,0.01,300
44B_2,170.4967819793108,150,0.9,0.03,300
33A_1,259.8011257550811,125,0.4,0.03,700
220_1,319.2508609717331,200,0.8,0.01,300
66A_2,282.06152815114865,75,0.5,0.03,700
31A_1,322.520844339161,75,0.6,0.005,700
66B_1,436.8544892276429,150,0.8,0.025,300
111_1,215.40289947809413,100,0.9,0.005,700
26_1,223.652506299826,100,0.6,0.005,700
25_1,280.925159340915,250,0.9,0.01,300
63_2,317.01940474295134,150,0.9,0.005,300
45A_1,237.50840953127732,100,0.8,0.005,700
184_1,194.5912359174337,55,0.5,0.02,300
184_2,377.47143031890397,55,0.6,0.035,300
38_1,398.5674738535182,125,0.4,0.025,300
27B_1,250.7250154390859,55,0.5,0.005,700
13_2,426.6536997554989,30,0.4,0.025,300
25B_2,288.7880329737734,150,0.5,0.03,300
15B_2,316.27006555758976,200,0.4,0.005,700
83_2,413.8335650958488,30,0.4,0.015,300
15_2,474.1404240891867,20,0.4,0.015,300
102_1,281.31714201223707,30,0.6,0.01,700
54A_2,367.4028035167095,30,0.4,0.025,300
220_2,344.171367707166,125,0.8,0.005,700
38A_1,409.7408608114709,200,0.5,0.005,700
33A_2,213.58940915273143,55,0.6,0.015,700
68_1,338.9612606698276,150,0.5,0.03,300
40B_2,237.58788061718758,150,0.5,0.035,300
42_1,275.23442585454467,150,0.6,0.005,700
31B_2,280.849932043805,55,0.5,0.015,700
68A_2,304.2662877033635,125,0.9,0.005,700
14C_2,171.26910315866067,100,0.4,0.035,300
51D_2,418.1221012601757,75,0.4,0.025,700
142_2,343.35621014772096,55,0.8,0.025,300
7B_2,577.1040311321661,75,0.4,0.035,300
27B_2,202.51345270843208,250,0.4,0.03,300
114_1,183.94424505722583,150,0.6,0.035,300
111_2,419.2357447125323,100,0.4,0.035,300
84_1,384.57035126656234,75,0.9,0.025,700
104_2,286.49439342833614,30,0.4,0.025,300
66A_1,298.1057960262283,20,0.9,0.025,300
239_2,455.5953504850962,150,0.4,0.005,300
238_1,148.6760482534844,200,0.4,0.015,300
84_2,366.13712907718974,200,0.5,0.035,300
17_2,335.7572397905461,55,0.9,0.01,900
45A_2,307.0243738001082,125,0.6,0.005,300
79A_1,181.812538134545,200,0.4,0.005,300
66_1,326.87250999855263,55,0.9,0.03,300
32_1,235.3969533443017,75,0.4,0.035,300
18_1,390.45894657194464,250,0.6,0.025,300
25A_2,259.5233546898126,200,0.5,0.02,300
11_2,352.58247206647866,200,0.5,0.015,300
150_1,213.60762270952702,30,0.6,0.03,300
15A_1,245.22674878264317,30,0.5,0.01,300
15_1,598.2735205689883,20,0.4,0.01,300
38B_2,502.50382681671977,55,0.8,0.005,700
26_2,216.7412941477861,75,0.6,0.025,300
238_2,157.7562069682649,250,0.6,0.005,700
69_1,332.9414206560156,150,0.9,0.02,300
42_2,295.324415202378,200,0.5,0.005,300
49_1,301.5884306377611,250,0.8,0.005,700
104_1,229.57527035702182,125,0.6,0.035,300
18_2,350.3097730156894,200,0.9,0.015,300
76_1,318.22947307838785,150,0.6,0.03,300
67_2,322.81369909746985,100,0.4,0.035,300
25B_1,254.01862210566617,250,0.5,0.02,300
77X_2,226.8259297823721,10,0.9,0.01,8000
69X_1,180.03421179667762,50,0.5,0.01,2000
16D_1,671.2105813883603,20,0.99,0.01,8000
66X_2,368.5419046537149,10,0.9,0.01,2000
69X_2,210.43658653357605,10,0.8,0.01,5000
66X_1,315.91544656490896,100,0.5,0.03,2000
39X_2,268.26182643185945,20,0.5,0.03,2000
33D_1,459.2752712630426,10,0.3,0.01,8000
25D_2,527.3591904960756,100,0.9,0.02,2000
67X_2,441.5483455772635,100,0.8,0.01,2000
41B_1,514.1020065395674,10,0.5,0.01,4000
7D_1,236.2588168579883,100,0.9,0.03,2000
39X_1,367.934071802527,100,0.9,0.01,2000
68X_2,317.5213637541287,10,0.5,0.01,8000
33D_2,258.5090452276176,10,0.5,0.01,4000
25D_1,235.68302996684602,100,0.9,0.02,2000
67X_1,446.2853188218635,50,0.8,0.03,2000
41B_2,313.71468956941015,50,0.8,0.03,2000
7D_2,377.0833067840386,30,0.5,0.01,5000
27X_1,220.0546500407566,10,0.3,0.01,10000
41D_1,3.4895227237466315,50,0.99,0.02,2000
33_1,745.3107467999158,50,0.99,0.01,2000
27X_2,393.6776355758954,30,0.9,0.02,2000
41D_2,126.12615101083792,10,0.99,0.01,8000
33E_1,113.87983305758736,10,0.99,0.01,4000
33_2,458.6528957301782,10,0.5,0.01,6000
15D_1,306.9810870577656,20,0.3,0.03,2000
84X_2,433.7958087228844,30,0.5,0.01,2000
41X_2,317.82815925510084,50,0.3,0.03,2000
15D_2,520.741729863895,10,0.5,0.01,5000
84X_1,555.0496835650142,10,0.3,0.01,4000
41X_1,697.4893804836187,10,0.8,0.01,4000
