Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MAE_Train,MPE
39,2,441.9181479971488,354208.9085590801,595.1545249421197,0.4707211770302565,447.99694066926867,-0.01652978285271539
9,2,438.0350398133778,328643.9319915151,573.2747438981723,0.39700733995380666,431.9085340443694,-0.018529434788025184
77X,2,170.52615524025606,51742.52061429165,227.4698235245538,0.8701967501792442,248.40797774031662,-0.023466728316476837
40D,1,251.0215741936094,121316.19863642646,348.30474966102094,0.4089071547293741,262.33832638083885,-0.01050764339942883
47,1,379.9616472761458,256240.49945237,506.2020342238561,0.6738474006907031,392.0497281790168,-0.02594164692275002
40,2,480.0868351604502,396827.9402073978,629.9428070923565,0.5264302404187317,469.1800677564582,-0.011670848540759796
140,2,472.55034777345776,361244.82821562,601.0364616357481,0.31984966981401375,461.6636294301649,-0.019134053984796326
84A,1,347.9414988881139,264966.9102422124,514.7493664320651,0.39762605020177,292.2738137125202,0.006542393349969084
123,1,358.0929611611492,219388.03332903274,468.38876302600676,0.4849299699380353,357.0955132444948,-0.015521230015728487
1,2,324.0896936495511,201883.93803325982,449.3149652896727,0.42173514922336575,333.4525503193214,-0.017849546031270848
31,2,234.46468981077066,95389.22233249662,308.85145674336167,0.5053601323695642,237.55117934421799,-0.018897921892651725
39,1,412.17176878343514,304688.4443957544,551.9859095989267,0.622031281098691,416.4644451066702,-0.003391390469652975
9,1,417.9088859312754,294935.47408064234,543.0796203878787,0.5193298237625456,408.9973770470723,-0.015419457587483061
40D,2,234.97171717375255,97985.42997759268,313.0262448702867,0.39445749586887124,239.53044192421362,-0.012224881387149123
41A,2,696.207800666031,746847.9108964896,864.2036281435584,0.26943631368814225,563.4028596915188,-0.05890813285678436
47,2,362.92789514517307,320044.93497518194,565.7251408371224,0.6927610212079338,370.1181168700769,-0.01879375509722259
140,1,327.3811131285031,208752.06172404613,456.8939283072671,0.38592469721316347,317.127715513426,-0.014588464569973158
40,1,503.03469576334516,418268.5639639829,646.7368583620257,0.4954307924650021,491.4537735176518,-0.01338589654581054
84A,2,213.96383696019598,70116.7786800589,264.7957301016368,0.48986806399724425,197.93061693481772,-0.006135309049622858
