Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MPE
39,2,600.090050770464,606714.6731094682,778.9189130515886,0.16569589333977308,0.02192278957768686
9,2,479.7806502540826,394827.93773743155,628.3533542024197,0.2838849541785826,-0.02066365982564958
77X,2,589.8947368421053,522668.92631578946,722.9584540731158,-0.420448896833197,nan
40D,1,407.67152412804586,302301.950310559,549.8199253487991,-0.35604043196019863,0.0578040980833954
47,1,425.973673870334,338713.4919449902,581.9909723913165,0.6165426034221672,nan
40,2,550.377993025959,522670.662843859,722.9596550595745,0.33718745397915617,-0.007325173477686615
140,2,566.5069387335526,581915.7598170231,762.8340316327157,-0.15464097211390393,0.03458911066512927
84A,1,404.42375366568916,355514.78739002935,596.2506078739286,0.06567824110930909,nan
123,1,391.2969631819403,269063.611484368,518.713419418052,0.36091234702986996,-0.002793038080146286
1,2,388.8269854938067,322237.56527786975,567.6597266654292,0.22084639353753022,0.0013345743384833128
31,2,268.13071065989845,125918.55219966159,354.85004184818916,0.3653277214195406,0.003200947020369944
39,1,920.1506066379224,1185596.8583174571,1088.85116444694,-0.35338240127805576,0.09015531206229636
9,1,476.98751015434607,382813.84260763606,618.7195185280937,0.3930335429078472,0.014960757699821955
40D,2,320.7238059977786,169385.4808095767,411.56467390870256,-0.05724852206022546,0.011308778405890695
41A,2,637.6336633663366,1013710.7029702971,1006.8320132824031,0.09292279412701498,0.07686317085605587
47,2,841.6270877619193,1087678.5259641665,1042.918273866254,-0.15159388359429626,0.04755876771445487
140,1,373.90847163169207,256487.81895487587,506.4462646272316,0.22303090370951362,0.0061483819639407515
40,1,555.1886187661311,520659.09537091,721.567110787978,0.3820302088598405,-0.017704749960260856
84A,2,317.38589540412045,277225.8106180666,526.5223742805871,-0.07853045422518723,-0.007537415489753024
123,2,408.6947391985673,289896.4191179763,538.4202996897278,0.2634546770907814,-0.009690764344660815
1,1,346.0581159521645,209855.96538219455,458.1003878869724,0.22140586237968574,0.007991805275494814
31,1,321.02776171197223,183057.71042992096,427.8524400186599,0.300667312182634,-0.012607144067391543
41,1,397.8069854287179,293085.9461082229,541.3741276679399,0.23040967916616661,0.017044500655008777
25A,2,390.3621560122307,289677.8953992747,538.2173310097647,0.4206171098484971,-0.009110204899238356
53,2,188.19149441672607,80238.49132810644,283.2639958203415,-0.17375861807735293,0.027965353891216654
83A,2,523.9006795608991,483009.68112911656,694.9889791421995,0.08667982515806538,-0.03739454516427717
25,1,405.0795314426634,307833.9517057131,554.8278577231979,0.26561523568645384,-0.004313323058924993
7,2,595.0406637490883,608838.0960977388,780.2807802949774,-0.2210625399088506,0.028128878729954055
130,1,216.2308118947054,79833.7592900721,282.54868481391327,0.17830378031006267,0.0563420572463975
69X,1,335.7344398340249,187331.89211618257,432.8185440992363,-0.6464400473195804,0.019324110663766755
37,2,421.10304892460414,320139.205388797,565.8084529138788,0.35303719140638345,0.003204872852198845
122,2,510.99769611795875,462954.09088814654,680.4072977916584,-0.11316392527264085,0.12677455754515604
33A,1,614.9900722021661,545984.3348375452,738.9075279340069,-1.4376551196574123,0.1060042578731833
16D,1,661.5679012345679,700881.6419753087,837.1867425940933,-0.8754376738195242,0.10771548949629835
17A,1,444.4596592075549,327981.768835968,572.6969258132682,0.1734655350303932,-0.020388118795846108
