Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MAE_Train,MPE
39,2,396.612357083133,301726.8593814241,549.2966952216481,0.5491427992553701,167.4339473295862,-0.014747561681983093
9,2,371.2531721538581,236921.30066571105,486.7456221330717,0.5652991234485674,356.9853937383563,0.005068157304077101
77X,2,145.65028382523505,38726.53462758233,196.7905857188863,0.9028491463253576,250.6669180231994,-0.016041468913238606
40D,1,249.42352281710447,120126.36072685578,346.59249952481053,0.41470444052701694,257.63085925713057,-0.0023495244800765744
47,1,334.2794957247498,209109.44665804217,457.2848637972201,0.7338375872923768,326.4967680608455,-0.004735664375173283
40,2,430.75124776128325,318532.61542210047,564.3869376784871,0.6198669528526697,405.41012846185544,-0.00153029495652566
140,2,449.0435212589798,351664.9833091527,593.0134764987662,0.33788656381869464,436.4087945437974,0.005226218043306071
84A,1,335.07797101449285,256109.48071884055,506.0726041971058,0.4177624695085267,111.09376835236542,-0.0048695366298839695
123,1,321.44465857116836,182828.72798302083,427.5847611679126,0.5707623748230056,307.43126087753654,-0.010412904455395186
1,2,300.71642877458737,181323.50886617677,425.8209821816872,0.4806272712021241,302.4151929620024,-0.01069872636827904
31,2,208.55539683081562,76342.99348841383,276.3023588180416,0.6041241633987446,207.44295714051464,-0.012735704714471554
39,1,353.782328603317,241762.16691700858,491.69316338241737,0.7000918866823311,153.0686569166262,-0.0016628082965037298
9,1,360.7089111889871,216324.59759194736,465.1070818552942,0.6474456564672619,343.26647735989826,-0.012145367322021022
40D,2,230.6034034684779,94968.37047680299,308.16938601490415,0.41310269409516454,220.81996957181852,-0.01262989468072214
41A,2,660.296326619173,851009.457339765,922.5017383938987,0.16754589901161276,676.2675571439848,-0.020724484486459787
47,2,304.9451126623377,273815.51657119195,523.2738447230016,0.7371406621533356,133.2495552876577,-0.010923877723137338
140,1,291.19167890181257,167564.70611835906,409.3466820658976,0.5070834424522195,274.8544553368676,-0.012649396009447094
40,1,436.0521510272441,310726.4279123172,557.4284060866626,0.6251619150957778,405.29709435907534,-0.005437615934795869
84A,2,193.2707086614173,64880.12526614174,254.71577349300875,0.5279671352110897,75.19600881057269,-0.009898178171474805
123,2,306.6316207581946,166513.1250332672,408.0601978057492,0.5472928874167163,313.5384819213066,-0.001578674651379427
1,1,247.62671844506855,105299.57273712166,324.4989564499733,0.5895111905937674,246.6200390906027,-0.0010925903180548425
31,1,246.83126294513443,114655.04714307138,338.6075119412908,0.5816635871665315,235.4727550140193,-0.024279144607159676
41,1,283.6663741585136,149746.88491941462,386.9714264896242,0.5611243726681503,277.9403088511036,0.003274706848631479
25A,2,241.57241739360197,112479.79122084832,335.38006980267676,0.7776296363723136,124.01942070996415,-0.011224390631704705
53,2,129.7414489311164,40314.6360648456,200.78504940569056,0.3336787676772872,51.7663252375924,-0.01748204024491323
