Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MAE_Train,MPE
39,2,399.58964985970465,290583.6973510124,539.0581576704061,0.5732729746514014,370.58443541100974,-0.003858926216173699
9,2,371.2531721538581,236921.30066571105,486.7456221330717,0.5652991234485674,356.9853937383563,0.005068157304077101
77X,2,145.65028382523505,38726.53462758233,196.7905857188863,0.9028491463253576,250.6669180231994,-0.016041468913238606
40D,1,249.42352281710447,120126.36072685578,346.59249952481053,0.41470444052701694,257.63085925713057,-0.0023495244800765744
47,1,334.2794957247498,209109.44665804217,457.2848637972201,0.7338375872923768,326.4967680608455,-0.004735664375173283
40,2,430.75124776128325,318532.61542210047,564.3869376784871,0.6198669528526697,405.41012846185544,-0.00153029495652566
140,2,449.0435212589798,351664.9833091527,593.0134764987662,0.33788656381869464,436.4087945437974,0.005226218043306071
84A,1,363.3863040478303,283804.1796908957,532.7327469668968,0.35480153150679683,292.4810893301158,0.02285409457304015
123,1,321.44465857116836,182828.72798302083,427.5847611679126,0.5707623748230056,307.43126087753654,-0.010412904455395186
1,2,300.71642877458737,181323.50886617677,425.8209821816872,0.4806272712021241,302.4151929620024,-0.01069872636827904
31,2,208.55539683081562,76342.99348841383,276.3023588180416,0.6041241633987446,207.44295714051464,-0.012735704714471554
39,1,372.6598857054726,239939.81042160135,489.8365139733882,0.7173274464808763,346.9523700400431,-0.005322328348475979
9,1,360.7089111889871,216324.59759194736,465.1070818552942,0.6474456564672619,343.26647735989826,-0.012145367322021022
40D,2,230.6034034684779,94968.37047680299,308.16938601490415,0.41310269409516454,220.81996957181852,-0.01262989468072214
41A,2,660.296326619173,851009.457339765,922.5017383938987,0.16754589901161276,676.2675571439848,-0.020724484486459787
47,2,310.8519124512603,267887.4368371043,517.5784354444303,0.7428315416663648,306.7088290159555,-0.021457371732792965
140,1,291.19167890181257,167564.70611835906,409.3466820658976,0.5070834424522195,274.8544553368676,-0.012649396009447094
40,1,436.0521510272441,310726.4279123172,557.4284060866626,0.6251619150957778,405.29709435907534,-0.005437615934795869
84A,2,208.30256725506123,70053.23722691314,264.6757208867356,0.49033035740432696,182.09182970507962,-0.005506357831519904
123,2,306.6316207581946,166513.1250332672,408.0601978057492,0.5472928874167163,313.5384819213066,-0.001578674651379427
1,1,247.62671844506855,105299.57273712166,324.4989564499733,0.5895111905937674,246.6200390906027,-0.0010925903180548425
31,1,246.83126294513443,114655.04714307138,338.6075119412908,0.5816635871665315,235.4727550140193,-0.024279144607159676
41,1,283.6663741585136,149746.88491941462,386.9714264896242,0.5611243726681503,277.9403088511036,0.003274706848631479
25A,2,259.523354689823,133106.0120513679,364.8369663991958,0.7368519982155899,229.93257475760177,-0.015411878302622467
53,2,131.29080704445525,42940.29630272361,207.2204051311637,0.2902817948620169,137.94950470642556,-0.004521320584131777
83A,2,404.6903002902651,291058.9049945663,539.4987534689643,0.4497324433509693,407.83011678666577,-0.0081556590134373
25,1,280.9251587915292,151178.4260141437,388.81669976242495,0.6996690601237008,260.6997753436074,-0.004298930708740406
7,2,461.42977611321135,359113.3623000887,599.2606797547197,0.2098510465122183,435.99678944751156,-0.01601673833647974
130,1,151.42589290139563,40389.453311145226,200.97127484082202,0.5832490679853695,150.0157375114796,-0.010499913476303312
69X,1,180.03421179667762,66295.6090942196,257.47933721799814,0.3011965675927739,226.40974572423315,-0.010986794472978593
37,2,300.20859246438465,158468.2314093355,398.0806845469088,0.6424476533736422,267.96390313491156,0.002334008464635075
122,2,340.7316766575399,198117.81634411562,445.10427580974283,0.5307652362297719,323.2934833389121,-0.009842101717573704
33A,1,259.8011257550811,169769.15594644792,412.03052793021044,0.3150167495789369,242.09688181934354,-0.04057188115272273
16D,1,671.2105813883604,625697.011419716,791.010120933807,-0.4596854406440365,345.02340612932016,0.02137264759026241
17A,1,348.5790021344928,192344.86833063865,438.57139479295574,0.5152593990371689,338.1869766560863,-0.010381221832958228
7A,1,390.02790930332003,254161.31216069107,504.14413827861875,0.5729757800748558,368.22380578805854,-0.005453568823223471
46A,2,466.02311765271537,420233.2387263119,648.253992449188,0.4895795059233037,482.10108483873455,-0.044580263126494685
38,1,398.5674738537486,296962.4193316337,544.9425835183315,0.6020170350464427,350.0052573307936,-0.007680067452090287
16C,2,185.6754764516914,66498.3021265961,257.87264710821137,0.6884256765520472,142.86109025949952,-0.0065767848481602985
51D,1,172.04664294235255,59204.254812510706,243.31924464067922,-0.1939699031100719,126.87815705504339,0.022697050976715902
40E,2,215.56469205307337,100399.1097544518,316.8581855569646,0.07657212987417372,169.81729635444893,-0.040290436442226574
40B,1,230.62223404395866,93980.94231866824,306.5631131083259,0.38074129757801134,262.9631830462281,-0.01084415131738261
49,1,301.5884306377861,186321.87996678485,431.6501824009633,0.6382179235405949,264.06531683408116,-0.004849545569134072
66X,2,364.37215467615033,240010.87982170904,489.9090526023264,0.48502008974773214,351.78648900494835,-0.0010720839913138916
41,2,324.3776859313137,176544.92525994207,420.17249464944996,0.5722359811255819,311.8068268983391,-0.010102981561397863
25A,1,257.66807351922876,118440.15050204184,344.1513482496354,0.6944861628733934,243.63068484176114,-0.009572138319191107
53,1,531.4127870521899,618346.7867530278,786.3502951948501,0.1267280926699733,507.4870515115535,0.010973630689442872
83A,1,367.1600737853162,235465.89693140087,485.24828380057244,0.6174817062255613,352.9925103246741,-0.0005225671458770784
7,1,530.5475581707143,551742.9909826076,742.7940434485239,0.4572318703909535,527.9538640259424,-0.021367750320132915
130,2,178.92289061192307,56433.96216520896,237.55833423647542,0.5393544588792458,180.6237002669776,-0.02574844629051611
25,2,229.9193673122584,114180.93953045028,337.90670240533893,0.6226185121118184,226.18501829518078,-0.0011104261383800115
69X,2,182.92650979630548,67093.61764476784,259.0243572422637,0.4090735476313423,109.1425145605386,-0.005858954620817545
122,1,304.054735524469,163942.86595134038,404.8985872429544,0.5308240615202425,314.30794056923156,0.004309764921901436
37,1,359.3614603686154,231679.4946125288,481.3309616184365,0.6223825018889406,345.4343949091681,-0.0019530181895297957
33A,2,213.58940915273143,76680.97652230541,276.9133014542736,0.5651509408051747,210.9653563558202,-0.0006498977947938531
7A,2,394.7278952982191,260536.7374467365,510.42799437994825,0.399203815179593,364.13429613427843,-0.012161504593626972
17A,2,348.5974853402507,221640.66543258785,470.7872825731254,0.3970339622352854,336.3407255531834,-0.001187858172372642
46A,1,371.02313830652633,238337.03143877292,488.1977380516761,0.5854892803578777,357.17254117730675,-0.008164037010418648
38,2,468.88212341410696,361516.9042190119,601.2627580509305,0.583641802261319,454.2443741963601,0.010635807357842043
16C,1,154.50042559992133,56800.45480725086,238.32845991876601,0.08208338915002367,120.51636443097247,-0.020005678295331307
51D,2,418.12210126017567,311563.7806891866,558.178986248306,0.16431639802854825,352.02811144323107,-0.005299712784425531
40E,1,230.6459435705372,99372.30676797067,315.2337335501559,0.1928977315873992,208.44141869806882,0.006213839733905973
40B,2,237.58788061718766,102832.23809796516,320.6746608292666,0.4299748968892656,218.88921032378408,-0.007075284386770085
66X,1,315.915446564909,159551.81290454825,399.43937325274817,0.38080675046572066,360.6158868060721,-0.009449276686494774
49,2,459.6489501964015,434701.21380386973,659.3187497742422,0.290617007851001,448.01450772345834,-0.012614199057314769
39X,2,268.26182643185945,120057.17335675882,346.49267431903786,0.5070291804139979,278.2196148145267,0.004521254532701308
120,1,156.89417408761648,46648.95760639193,215.98369754773606,0.4556363724988597,150.97476230205234,-0.004333987429223822
32,2,199.92970726153843,68859.79027206414,262.41149035829994,0.6924607471315184,191.26671478569102,-0.005973455508180874
27,2,502.3999407570762,405378.5969988337,636.6934874795201,0.5259504141765403,493.2627567541419,-0.009950916389140602
33D,1,456.7333740489239,450692.82636056707,671.336596917349,-0.501914504532595,137.68863795548694,-0.005857485580277052
65B,1,420.24492177983603,384759.3072333603,620.289696217308,0.5770794671918882,391.93716474117446,-0.014700637674356648
44,1,381.945839571392,283293.217709616,532.2529640214473,0.6909210368487245,347.2934931578281,-0.004292709120136638
151,1,311.88200181156196,197941.5952305757,444.9062769062443,0.5543792534535141,295.66162532129596,-0.006971022217730159
43,2,266.55641961925335,129964.7892748688,360.506295749282,0.548528167263848,247.94559450360074,-0.010660904993699453
25D,2,527.3591904960756,471548.5364657896,686.6939175977822,0.2557386887074705,426.1901077748633,-0.0034373804881544442
59,1,100.30058522063501,27245.31054519044,165.06153563198922,0.5450356437603158,93.54364338053338,-0.016344347059931975
67X,2,441.5483455772635,396470.2664614575,629.6588492679647,0.501437966936179,375.96986935117957,0.010086367052347067
41B,1,358.30327517955976,261469.43740220493,511.3408231328738,0.5486065808864872,139.27332429416776,-0.014956130333542927
7D,1,214.62335925447553,81468.21078311524,285.4263666571735,-0.003139741952305375,269.33839757462727,0.01500639143190491
39X,1,352.2471259457533,195981.66579266958,442.6981655628015,0.2975064653099624,332.66117238884004,-0.007384934620154297
68X,2,317.2553585116098,150344.50377414477,387.742832008723,0.5395249073784534,4.81418681934088,-0.018071764011264296
120,2,145.46372328603212,48833.539681410955,220.98312080656964,0.4664948505405736,139.79640732133007,-0.010009483868980118
32,1,235.39695448573585,95237.34660159194,308.6054869920364,0.6634627898349855,228.58846051760224,-0.002859875457443242
27,1,459.1237454767941,392985.0875534429,626.8852267787485,0.5999903160906934,433.70529293562475,-0.011331641624643769
33D,2,213.05753328125564,77058.75709858506,277.5945912632036,0.00817684869781743,198.63884876903236,-0.033396247479036585
65B,2,746.0823494434611,984844.0467994377,992.3930908664357,0.352864024492482,698.980028476619,-0.029864876788499143
