Route,Direction,Mean_Absolute_Error,Mean_Squared_Error,Root_Mean_Squared_Error,R2,MAE_Train,MPE
39,2,400.67342166659216,305189.63773722824,552.439714120218,0.5439685215676042,170.84462167086593,-0.014901711497361669
9,2,396.5992698068986,261916.10142754958,511.7773944084963,0.5194389083903603,224.2424760155494,-0.01010136214614088
77X,2,230.05,91096.9521484375,301.82271642213664,0.7714707305084979,118.24889705882353,-0.022660423815187482
40D,1,263.8755028067303,133441.44469422556,365.29637925145875,0.3498289255030347,148.0872794081458,-0.013321647903670563
47,1,342.29869893790857,206092.79057103928,453.97443823528135,0.7376773012568006,149.7647118033895,-0.019223540120090334
40,2,463.67173957922415,366361.19145650184,605.277780408716,0.562788897204955,281.1919468905429,-0.005341430378537623
140,2,488.98749260518423,424035.15150303254,651.179815030405,0.20162829809951666,282.5519078923069,-0.018208955506726018
84A,1,318.02807971014494,256796.69239696558,506.751114845311,0.41620016721001996,109.05261011419249,-0.006284372378829619
123,1,344.73561903762163,203910.66860744535,451.56468928321374,0.5212670781725209,204.86095445983858,-0.009512275605125934
1,2,315.4833707254046,195347.69346597572,441.9815533096101,0.44045719579210973,165.66676066479883,-0.015288325382747912
31,2,213.21388523811387,83316.41079788434,288.6458224154376,0.5679635770081248,100.9904313971794,-0.016378310921951602
39,1,358.03509322531943,250207.7490407434,500.2077058990029,0.6896150671166452,155.9921818175913,-0.0009576080862670465
9,1,374.28614463336237,229267.81953261915,478.81919294512323,0.6263514805608326,206.46294829262047,-0.008585703213710973
40D,2,246.2551713713788,108734.34967404956,329.7489191400778,0.32802998974693676,131.93429536276298,-0.011389276919766229
41A,2,701.6669207317074,851153.4721560595,922.5797917557372,0.16740502428525883,219.02462121212122,-0.07100189256699344
47,2,312.562288510101,289795.31305624114,538.3264001107889,0.7218002651751667,135.0142572171531,-0.010239591641903665
140,1,299.75114452844,174751.5466298901,418.0329492155972,0.4859422799326698,177.99868054978592,-0.007336295277952316
40,1,442.2082467166242,315485.9944717732,561.6813994354568,0.6194203152386066,273.4372000547022,-0.006460233498547689
84A,2,192.38508858267716,63006.35730653297,251.01067169850162,0.5415996621875037,77.4102422907489,-0.011712975004084207
123,2,329.97606834470395,183045.40771815274,427.8380624934541,0.5270653114965844,199.84513348658626,-0.00963996399201927
1,1,262.4034777703478,117203.01774612497,342.3492628093786,0.543108049132057,139.74115290081744,-0.013974020093600319
31,1,246.95184785125628,116184.791652341,340.8589028503451,0.5760820811926952,114.08505027644196,-0.021428125818745453
41,1,307.73376214013825,199142.61161716192,446.2539765841442,0.49274350966537606,154.54403095259508,-0.010397929874654746
25A,2,244.56499173279423,115915.24476065226,340.4632796068502,0.770837811417978,126.04675931621861,-0.01170912542128902
53,2,133.2310718527316,42108.987968100504,205.2047464560713,0.30402167814101355,53.75054448257656,-0.015338738003970575
83A,2,409.13300482562477,300883.16346635175,548.5281792819324,0.43115898412195564,150.0013147146384,-0.015393234485858154
25,1,279.60292607802876,159491.9712124615,399.36445912532264,0.6831533779000925,106.07805720484129,-0.011374730468028409
7,2,458.71873644722,383013.14875173505,618.8805609741956,0.15726489061872273,183.3667051026165,-0.028063079424918383
130,1,162.92375461857526,45018.22325326721,212.174982628177,0.5354879811343043,99.81502524939293,-0.010626470224360184
69X,1,241.46875,90142.1660546875,300.23684992799855,0.04983669500473631,88.52777777777777,-0.022976876799076056
37,2,297.9377705668098,163269.88716911152,404.0666865371501,0.6316136630569007,154.01163336599254,-0.011404131697289873
122,2,357.04888408554353,206188.91946556195,454.08030067991496,0.5116491252386288,189.48601831628335,-0.007420678889848739
33A,1,241.9132882882883,182916.2923880912,427.6871431175962,0.26197078723483025,98.87644182547643,-0.036840742867505265
16D,1,724.10474537037,785605.4362934626,886.3438589472274,-0.8327350083491853,252.74817708333342,-0.021616523503744187
17A,1,365.14847338736763,213803.9282326642,462.3893686414775,0.4611790501134627,190.3522039790386,-0.004824915798835494
7A,1,394.9558790004158,268629.58780294855,518.2948849862871,0.5486671861851187,169.56134073988932,-0.013936229653681628
46A,2,473.2843599995101,370377.01643749827,608.5860797270163,0.5501354907154237,322.99775110255473,-0.02422447006451028
38,1,394.23668244219556,295244.0428185608,543.3636377404738,0.604319968128408,151.61725917598466,-0.008244158517712076
16C,2,188.84683066989015,62847.554905769386,250.69414613382855,0.705531062088705,73.03153257821724,-0.009176018744223358
51D,1,171.4633152173913,53166.88913892663,230.57946382738996,-0.07221458449053908,69.8296875,0.0029194407496478717
40E,2,238.36475409836066,143945.54690701843,379.40156418630966,-0.32394928719526117,78.95982689950979,-0.06368666587140431
40B,1,217.62461419753086,85955.8041570216,293.1822030018562,0.43362049331843666,94.41940695208619,-0.008059270992026826
49,1,303.2550526596925,200440.34580699858,447.7056463872201,0.6108040315757636,123.35944509436864,-0.01825779894683667
66X,2,335.353350736481,211185.9817379445,459.5497598062091,0.5468683002923325,186.1420529170081,-0.00012823248884735644
41,2,343.2548082791044,206289.8548883289,454.1914297830034,0.5001647470176565,175.58010577808741,-0.007591149318512592
25A,1,259.5427737230263,122317.59052063902,349.739317950726,0.6857793890056673,121.80834127180918,-0.007367060476654924
53,1,499.5550986842105,504672.52133874723,710.4030696293107,0.24294643832613372,194.80587768554688,-0.08502492348960539
83A,1,362.6788884943182,226089.26893477005,475.48845299835625,0.6327141954708033,139.96639020537125,-0.000829543583746984
7,1,581.1660261575519,691508.0695570764,831.5696420367186,0.3197402637510114,259.4815787505204,-0.022996680809838174
130,2,202.74913520940905,73512.40484561313,271.131711250479,0.39995066428152104,126.21364251173004,-0.020271077031086368
25,2,236.88040930979133,127089.03211109167,356.4954868032577,0.5799557419164327,92.91981559508947,-0.014895654158974047
69X,2,222.74816176470588,99158.3623046875,314.8942081154995,0.12666358863473126,102.66514756944444,0.014728416230161216
122,1,334.09427776269484,183331.44741928467,428.1722170100305,0.47533731707895677,177.80630453405183,-0.013864666296158632
37,1,380.1430875329287,261511.5735651525,511.382023114963,0.5737587985422907,194.84494777985464,-0.014271227720306976
33A,2,217.4597886029412,80301.91251866957,283.37592085191284,0.5446170263607543,82.72342722039474,-0.005551588249548019
7A,2,402.877244581101,282416.18897545617,531.4284420083819,0.34623818758627467,173.94691283927997,-0.008320504716874793
17A,2,371.72216634925934,243271.96185026548,493.22607580121456,0.3381867418155825,190.11122376814004,-0.012472525391217093
46A,1,391.7209397201271,261151.76160573514,511.03009853210716,0.542458177843216,269.92068416207616,-0.011853703201428529
38,2,485.48347433308675,474562.5035129332,688.8849711765624,0.5276420475205259,191.3086342376388,-0.008629606893640247
16C,1,162.0807029872134,67953.59108824685,260.67909599399576,-0.0981554679179455,50.47069215107591,-0.016790085646342642
51D,2,421.35634325396836,283507.6389498871,532.4543538650869,0.23956923240568972,193.5204686499039,-0.0008109397401512686
40E,1,247.34194386087762,121237.77711641057,348.19215544927283,0.015306294977794122,99.4144048591659,-0.006235054901058309
40B,2,242.8224734042553,118212.92258837544,343.8210618743061,0.34471587282516436,87.70754531126872,-0.016723906962785053
66X,1,341.02045454545447,181457.10084293864,425.97781731322425,0.29579608105596333,153.9185005252101,-0.01599214952268485
49,2,472.5920348572389,471519.93104456575,686.6730889182754,0.23053304448972733,197.2735165828607,-0.023723301555093307
39X,2,306.3842039656772,144839.12109928485,380.57735232050373,0.4052711867182155,149.39227625219178,-0.0011772514617234677
120,1,176.4548183480704,69132.1879961463,262.9300058877767,0.2636755891963807,89.7889970301258,-0.012744339066650479
32,2,201.02146683851942,74284.5621414085,272.5519439325438,0.6682328155463572,82.06349405944655,-0.004867641619668984
27,2,523.9749590742126,454883.01132663124,674.4501548125193,0.46805996983077525,313.109595167372,-0.011909111203724388
33D,1,423.96651785714283,358084.45375279017,598.4015823448249,-0.19330107665987506,91.33888319672131,0.013789703997793019
65B,1,450.2876271472132,463318.0347222724,680.6746908195371,0.49072912228343546,173.4385832285666,-0.015002131026937553
44,1,390.01742299874917,293639.8708497111,541.8854776146997,0.6796326168488342,137.68396868692145,-0.008745189087408883
151,1,317.0420316342921,199207.13236125294,446.3262622356575,0.5515301827450672,160.02462372179195,-0.007764271680039835
43,2,268.8239522238476,131092.58065254687,362.0670941311111,0.5446104442939175,118.72657474699218,-0.004027597001573238
25D,2,566.5094653486395,580833.5062623762,762.1243377969084,0.08325045338183101,251.26941999214134,0.027899479408915347
59,1,87.62197580645162,25394.584834929436,159.35678471571092,0.5759405670111821,28.18622448979592,-0.03409184627942543
67X,2,450.2502438822751,368543.07240850147,607.0774846825581,0.5365564608627927,217.5096753941861,0.002161685577241557
41B,1,352.41319444444446,273305.1884765625,522.7859872610995,0.5281736759997394,110.50657894736842,-0.012013005149491012
7D,1,217.92578125,91061.96024576823,301.76474321194024,-0.12127013008543219,100.3281990521327,-0.00847058667036866
39X,1,308.22674135760064,161460.1602738745,401.82105504051736,0.42124831808294294,157.16490221502264,-0.011988605391079267
68X,2,296.2708333333333,141643.69954427084,376.3558150796542,0.5661737274753419,135.6469414893617,-0.030552563044420195
120,2,147.48523566074172,47265.746707669285,217.40686904435492,0.4035400764927948,82.06272204350671,-0.012411773037793027
32,1,233.2131610576923,102149.02542125138,319.60761164473445,0.6390392082199353,88.92224969451657,-0.009842850268905787
27,1,470.224933841824,396760.8530830107,629.8895562580877,0.596147058868388,273.2987801735757,-0.008772108053977183
33D,2,228.8721590909091,77145.71812855113,277.75118024690937,0.007057573406741846,108.05163043478261,-0.0007234832655227094
65B,2,748.9215909090909,1091642.130024858,1044.8167925645423,0.2826875513797902,274.89863788812016,-0.06155654124277591
151,2,288.99407229479937,150239.07500105535,387.60685623587125,0.6206166910113619,147.92170354068983,-0.0050320294726826625
44,2,388.90582210346963,312043.63521863346,558.6086601715314,0.685132180169878,136.4114409901758,-0.007221672562778051
43,1,303.3976969046878,176322.2315458157,419.90740830070587,0.4958448428468828,125.56453432094119,-0.011601347349437548
25D,1,251.8053287515664,106331.12025981837,326.08452931689106,0.3236313223234649,143.777383472719,-0.023815420440319597
67X,1,452.7687692901234,383612.87989067927,619.3649004348562,0.02312512456003646,164.14461134820803,-0.0010470202443607552
59,2,123.14355248306998,30533.688860133323,174.73891627263035,0.5107450842923544,47.88987236578023,-0.02486875076086776
41B,2,282.1428931451613,151420.13393869708,389.12740065266166,0.5568089873634072,118.58960201793722,-0.021227877221067656
7D,2,389.1375,240832.6015625,490.7469832434021,-0.02297152863715901,177.77963362068965,-0.03894187487878882
41C,2,333.5794757451825,213645.64032811485,462.2181739483151,0.47268388329996136,154.95732013971033,-0.012384765659555057
27X,1,279.4651041666666,123561.94489182961,351.51379047176744,0.15848845703634773,136.46023926767674,-0.014763263786879482
41D,1,205.59375,42268.7900390625,205.59375,nan,138.7375,0.05397578104489367
270,1,193.53449394463667,86459.51266743486,294.0399848106289,0.5116429399714117,78.56040324261076,-0.0150587510934744
7B,1,282.81037027149836,124755.92204277031,353.2080435703161,0.034743998917533436,173.67709160844754,-0.00014831056042139743
56A,2,247.49698572834646,126301.28992564284,355.3889276913996,0.7341622363595014,97.57919127296589,-0.006380014482647355
26,1,231.15924233490566,102024.31213231501,319.41244830518895,0.5493530339994124,85.034395363203,-0.015852092897350067
33,1,845.3164544753085,1365298.3222568338,1168.4598077199034,0.1891208902485474,356.6544851928374,-0.04486369811455268
4,2,397.08777739367446,259997.737267596,509.8997325627814,0.5882313911511232,228.2822416401808,-0.010416304081610008
33B,1,167.23946248992354,59707.987433738206,244.3521791057698,0.2487952125234889,63.35476745879829,-0.01805894336521682
42,1,270.2180499152364,146162.0944373014,382.31151491591436,0.5889486412818161,123.53109215181236,-0.004222978314307412
142,1,289.93619791666634,99669.71142860675,315.70510199964576,0.4149259105826294,149.37115265376983,0.04668000856436879
25B,2,296.16304431578925,172588.47281136524,415.4376882414079,0.6786056203118147,127.70828950361555,-0.011520063862784622
145,2,498.9683167141471,421509.66728637245,649.2377586727165,0.5276461286840612,315.043981368211,-0.011558551406468446
150,2,242.3278090107467,114473.4583323571,338.339265135392,0.4028222739146199,115.85237538567858,-0.01516844196859756
27X,2,336.1791666666667,203641.90416666667,451.2669987564642,0.34181347200757073,120.22115384615384,-0.011735920584621912
41C,1,342.81986386904543,248149.00146138057,498.1455625230246,0.5767468371529951,162.66524436803533,-0.00571336621320563
41D,2,469.1875,220136.91015625,469.1875,nan,230.23046875,-0.1788062118902439
270,2,192.24336946494466,74407.09590672566,272.776641057708,0.1732915911118671,69.63776805869074,-0.03790889590789142
7B,2,535.2556296423485,495253.6653611028,703.7426130064192,0.2639424433734132,240.44508412366145,-0.001550819767862606
46E,2,315.40423387096774,163535.39487777217,404.39509749473,0.5512341983523128,135.36353417266187,-0.019181946552688456
56A,1,263.727324695122,144813.23783068152,380.5433455346204,0.6816930545165736,97.74620333710408,-0.012795340340468437
33E,1,24.5625,655.4267578125,25.601303830322784,0.9877701205339858,101.48214285714286,-0.0012834669096264077
4,1,378.30501973792985,245123.13651919572,495.0991178735786,0.7159902160281766,209.28464124609962,-0.012923138139813503
26,2,241.91743727293374,115009.9021041751,339.1310986980921,0.5028219757743557,101.62204445244592,-0.04183198141825002
33,2,474.634375,351989.08427734376,593.2866796729418,0.6253220927213262,187.98536849710982,-0.0122772051849202
33B,2,305.47476768791824,270711.6765818433,520.2996027115947,0.03992637895514106,109.56702654085963,-0.04268333428805314
142,2,311.73621415717764,156768.0878495611,395.9395002390657,0.5032184323487056,161.81936890038014,-0.00395584244806043
