LINEID,DIRECTION,MAINROUTE,SUBROUTES,SUBROUTES SET OF MAIN,ALL SET OF LONGEST,START_STOP,END_STOP
5,2,['51X_64'],[['51X_63']],False,False,7433,4953
1,2,['16D_30'],[[]],False,True,7347,5052
1,2,['16D_30'],[[]],False,True,7347,5052
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
4,1,['41X_121'],"[['41X_118', '41X_116', '41X_117', '41X_122', '41X_123', '41X_129', '41X_130', '41X_131']]",False,False,4953,4957
4,2,['41X_125'],"[['41X_120', '41X_109', '41X_108', '41X_110', '41X_119', '41X_124', '41X_126', '41X_128', '41X_127']]",False,False,3088,762
